"Title","Album","Year","Popularity","Duration","Key","Mode","Tempo","Time_signature","Valence","Danceability","Energy","Loudness","Acousticness","Instrumentalness","Liveness","Speechiness","Songwriter.s.","Lead.vocal.s.","Genre","Styles","Period","titulo_tratado"
"I Should Have Known Better","A Hard Day's Night",1964,59,164,7,1,130.704,4,0.91,0.682,0.444,-7.689,0.257,0,0.115,0.0289,"Lennon","Lennon","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","early","i should have known better"
"I Wanna Be Your Man","With The Beatles",1963,49,103,9,1,99.138,4,0.683,0.553,0.914,-8.232,0.477,0,0.292,0.0415,"Lennon / McCartney","Starkey","Rock and Roll, R&B, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","early","i wanna be your man"
"I Want You (She's So Heavy)","Abbey Road",1969,65,467,2,0,115.732,4,0.42,0.37,0.515,-9.487,0.0233,0.205,0.0966,0.0321,"Lennon","Lennon","Blues Rock, Hard Rock, Progressive Rock, Pop/Rock","Album Rock, Hard Rock, Contemporary Pop/Rock, Rock & Roll","late","i want you shes so heavy"
"I Want to Tell You","Revolver",1966,52,149,9,1,127.492,4,0.449,0.493,0.525,-9.289,0.182,4.4e-06,0.148,0.0315,"Harrison","Harrison","Psychedelic Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, British Psychedelia, Psychedelic/Garage","middle","i want to tell you"
"I Will","The Beatles",1968,68,106,5,1,103.11,4,0.832,0.631,0.387,-11.529,0.742,0.000406,0.0822,0.0262,"McCartney","McCartney","Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","late","i will"
"I'll Be Back","A Hard Day's Night",1964,53,140,9,1,123.902,4,0.641,0.721,0.527,-7.224,0.744,0,0.186,0.0293,"Lennon","Lennon, with McCartney","Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Adult Contemporary, Alternative/Indie Rock, Britpop","early","ill be back"
"I'll Cry Instead","A Hard Day's Night",1964,49,129,7,1,96.711,4,0.96,0.643,0.73,-6.859,0.0917,0,0.253,0.0347,"Lennon","Lennon","Rock and Roll, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary","early","ill cry instead"
"I'll Follow the Sun","Beatles For Sale",1964,69,106,0,1,133.754,4,0.625,0.689,0.313,-10.073,0.789,0,0.144,0.0366,"McCartney","McCartney, with Lennon","Folk Rock, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","early","ill follow the sun"
"I'm Happy Just to Dance with You","A Hard Day's Night",1964,57,118,6,0,132.115,4,0.887,0.658,0.537,-7.535,0.138,0,0.0572,0.0307,"Lennon / McCartney","Harrison","Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","early","im happy just to dance with you"
"I'm Looking Through You","Rubber Soul",1965,60,147,1,1,85.843,4,0.774,0.667,0.498,-11.027,0.00772,0,0.0481,0.0364,"McCartney","McCartney, with Lennon","Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter, Rock & Roll","middle","im looking through you"
"I'm Only Sleeping","Revolver",1966,60,182,8,0,103.477,4,0.698,0.494,0.47,-9.599,0.21,0,0.28,0.0301,"Lennon","Lennon","Psychedelic Rock, Psychedelic Folk, Pop/Rock","British Invasion, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll","middle","im only sleeping"
"I'm So Tired","The Beatles",1968,58,123,9,1,68.492,4,0.717,0.433,0.483,-9.422,0.656,2.64e-05,0.539,0.175,"Lennon","Lennon","Blues Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll, British Psychedelia, Psychedelic/Garage","late","im so tired"
"I'm a Loser","Beatles For Sale",1964,50,151,7,1,89.877,4,0.856,0.492,0.628,-7.813,0.567,1.07e-06,0.267,0.0439,"Lennon","Lennon","Folk Rock, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock, Folk-Rock, Psychedelic/Garage","early","im a loser"
"I've Got a Feeling","Let It Be",1969,59,217,2,1,165.156,4,0.364,0.44,0.609,-8.824,0.0715,0,0.582,0.0358,"Lennon / McCartney","McCartney, with Lennon","Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Hard Rock","late","ive got a feeling"
"I've Just Seen a Face","Help!",1965,66,127,9,1,120.418,3,0.913,0.647,0.56,-8.809,0.723,0,0.118,0.0387,"McCartney","McCartney","Folk Rock, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","early","ive just seen a face"
"If I Fell","A Hard Day's Night",1964,67,142,2,1,108.211,4,0.568,0.665,0.31,-8.928,0.68,0,0.0877,0.0278,"Lennon","Lennon, with McCartney","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Adult Contemporary, Alternative/Indie Rock, Britpop","early","if i fell"
"If I Needed Someone","Rubber Soul",1965,56,143,9,1,127.387,4,0.796,0.492,0.755,-9.273,0.00748,0,0.102,0.0331,"Harrison","Harrison","Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Rock & Roll","middle","if i needed someone"
"In My Life","Rubber Soul",1965,79,148,9,1,103.239,4,0.435,0.688,0.435,-11.359,0.449,0,0.113,0.0323,"Lennon / McCartney","Lennon","Baroque Pop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","middle","in my life"
"It Won't Be Long","With The Beatles",1963,54,133,4,1,133.117,4,0.862,0.472,0.673,-8.853,0.284,0,0.206,0.0318,"Lennon / McCartney","Lennon","Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","it wont be long"
"It's All Too Much","Yellow Submarine",1967,44,388,7,1,113.511,4,0.199,0.39,0.781,-7.878,4.3e-05,0.412,0.1,0.0364,"Harrison","Harrison","Psychedelic Rock, Acid Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","late","its all too much"
"It's Only Love","Help!",1965,56,115,0,1,113.155,3,0.685,0.629,0.551,-8.281,0.22,0,0.0432,0.0256,"Lennon","Lennon","Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","early","its only love"
